@amharic@	-language=683 -people-ethnicity=3
@duke_of_chandos@	-title=15 -person=13
@mohamed_farrah_aidid@	-person=49
@murcia@	-location=161 -organization=54
@south_east_dorset_conurbation@	-location=26
@västerås@	-location=344 -organization=4
@port_kembla@	-location=184 -organization=2
@artur_dmitriev@	-person=36
@china_development_bank@	-organization=37
@minister_for_home_affairs@	-title=48 -organization=2
@california_dreams@	-broadcast_program=75 -person=3
@john_gerretsen@	-person=26
@mtv_video_music_awards@	-event=27 -award=3
@controversy@	-art=46 -event=38 -person=12 -location=4 -product=2 -metropolitan_transit-transit_line=1 -organization=1 -broadcast_program=1 -award=1
@cecilia_malmström@	-person=20
@ama@	-organization=172 -location=18 -award=6 -internet-website=5 -person=4 -event=1 -language=1
@graciano@	-food=29 -person=1
@váh@	-location=117
@inge_the_elder@	-person=42
@imre_nagy@	-person=150
@brooks_bollinger@	-person=48
@dream@	-organization=253 -person=43 -art=31 -broadcast_program=7
@would_you_believe@	-broadcast_program=16 -art=5
@central_coast@	-location=63 -organization=2
@the_rink@	-art=30
@funkstörung@	-person=28
@saalbach@	-location=24
@gene_therapy@	-medicine-medical_treatment=54
@the_hairy_ape@	-art=28 -person=1
@pennsauken_township@	-location=89
@dvd@	-product=10264 -art=19 -organization=3
@baltic_fleet@	-organization=440
@buckhannon@	-location=46
@raila_odinga@	-person=173
@kruszyna@	-location=26
@sumy@	-location=127 -organization=2
@river_bollin@	-location=30
@pakistan_army@	-organization=944 -location=2
@lou_taylor_pucci@	-person=50
@rappahannock_county@	-location=59 -organization=1
@buckwheat_family@	-living_thing=45
@cambridge,_ma@	-location=34
@enigma@	-person=167 -art=66 -organization=28 -product=3 -location=1
@wembley_stadium@	-location=3365 -art=1 -person=1
@foxton_locks@	-location=23
@fast_money@	-broadcast_program=24 -art=4
@isandlwana@	-location=15 -event=13
@eric_simonson@	-person=22
@the_rumour@	-person=24 -art=6
@hal_greer@	-person=58
@english_chamber_orchestra@	-person=215
@kristian_hoffman@	-person=29
@gilligan's_island@	-broadcast_program=420 -location=1
@battle_of_winceby@	-event=20 -location=1
@selah_sue@	-person=37 -art=4
@southgate,_kentucky@	-location=25
@zande@	-language=12 -people-ethnicity=10 -location=1
@mona_freeman@	-person=46
@matching_mole@	-person=39 -art=2
@american_poultry_association@	-organization=72
@boyle_county@	-location=23 -organization=1
@hebraist@	-title=54 -language=2
@carnivore@	-person=37 -living_thing=12 -art=3
@bavarian_state_library@	-location=103
@dance_tonight@	-art=22
@largs@	-location=194 -event=3
@the_human_centipede_(first_sequence)@	-art=25
@reading_rainbow@	-broadcast_program=96
@lazarus@	-person=170 -art=24 -computer-programming_language=23
@anatole_france@	-person=208 -location=2
@paul_nitze@	-person=51
@the_ward@	-location=34 -art=13 -broadcast_program=1
@dd_smash@	-person=26
@a_bigger_bang@	-art=31
@windom@	-location=39 -product=1 -person=1
@stockholm_marathon@	-event=38 -art=4
@elliott_dexter@	-person=43
@super_8@	-art=87 -organization=4
@leo_esaki@	-person=23
@identity@	-broadcast_program=48 -art=14
@double_jeopardy@	-art=26 -law=1
@płoty@	-location=46
@blaina@	-location=37 -organization=8
@phoenix_stakes@	-event=61
@ana_belén@	-person=55
@lincoln_castle@	-location=58 -product=1
@joe_weatherly@	-person=56
@geraldine_fibbers@	-person=23
@palmira@	-location=32 -art=1
@lp@	-organization=59 -art=16 -product=1
@military@	-organization=108 -person=4 -title=3 -award=3 -event=2 -art=1
@sl@	-organization=12 -product=7 -finance-currency=1
@footloose@	-art=284 -person=6
@battersea_park@	-location=100 -event=2
@swiss_italian@	-language=18 -location=3
@tamarack@	-living_thing=30 -location=7 -person=4 -organization=1
@chu_lai@	-location=147 -person=1
@elmwood_cemetery@	-location=46
@kxlu@	-broadcast_network=31
@philco@	-organization=99 -broadcast_program=1
@risso's_dolphin@	-living_thing=49
@guyanese@	-location=221 -people-ethnicity=31
@nyc@	-location=107 -person=16 -organization=10 -art=3
@jon_coffelt@	-person=38
@cotton_bowl_classic@	-event=342
@uyghur@	-people-ethnicity=289 -language=180 -location=11
@frederick_mccubbin@	-person=80
@broxburn@	-location=45
@tony_greig@	-person=137
@jamie_robertson@	-person=22
@jennifer_dunn@	-person=27
@east_germany@	-location=3327 -organization=185 -event=2
@the_jets@	-person=83 -art=6 -organization=1
@alicante@	-location=907 -organization=18 -food=5 -event=3
@nyse@	-finance-stock_exchange=83 -organization=1
@saiva@	-living_thing=64 -god=1
@vincent_piazza@	-person=25
@la_vanguardia@	-art=101
@greendale@	-location=28 -organization=5
@kingston_voyageurs@	-organization=72
@edward_evans@	-person=36 -event=1
@taal@	-art=61 -location=40
@cavalier@	-art=39 -location=19 -product=19 -organization=4 -person=1
@the_lurker's_guide_to_babylon_5@	-internet-website=33
@fence@	-title=44 -location=5 -art=3 -organization=2
@qarah_quyun-e_jonubi_rural_district@	-location=33
@waseca_county@	-location=35
@sudirman_arshad@	-person=28
@camp_ramah@	-organization=25 -location=2
@sugo@	-location=17 -broadcast_program=14 -food=1
@athletes@	-title=180
@larsen@	-person=25 -location=1
@monarchist_league_of_canada@	-organization=30
@karen_davila@	-person=26
@elena@	-person=39 -location=28 -event=6 -art=5
@hawai'i@	-location=30 -organization=6
@cromwellian@	-person=40 -event=12 -organization=4
@commodore_64@	-product=2053 -organization=2 -person=1
@frankie_randall@	-person=26
@quirino@	-location=60 -person=11
@downton@	-location=99 -organization=7 -broadcast_program=1
@bettembourg@	-location=31
@cosimo@	-person=20
@arthur_macalister@	-person=28
@reading_eagle@	-art=41
@gabriele_münter@	-person=35
@memnon@	-person=20 -product=3
@ceremony@	-art=24 -person=14 -event=3 -broadcast_program=1
@free_french_air_force@	-organization=50
@pensacola_blue_wahoos@	-organization=37
@kevin_tamati@	-person=37
@the_sea_inside@	-art=25
@the_phoenix_foundation@	-person=32
@university_of_newcastle@	-organization=119
@billy_gilman@	-person=55 -art=1
@gagarin@	-location=13 -person=9
@phaedra@	-art=59
@december_15@	-time=254 -event=3
@jervis_bay@	-location=163
@matthew_paris@	-person=185
@route_133@	-location=34 -metropolitan_transit-transit_line=3
@mumford@	-location=33 -art=19 -person=10 -organization=1
@dale_evans@	-person=159
@yarmouth,_maine@	-location=90
@harold_larwood@	-person=83
@wilfried_martens@	-person=81
@eiji_takemoto@	-person=26
@antoine-labelle_regional_county_municipality@	-location=34
@siaka_stevens@	-person=90
@tweed_heads@	-location=45 -organization=1
@ballycastle_railway@	-location=26
@manchester_piccadilly@	-location=93
@arroyo_grande@	-location=28
@erzurum_province@	-location=59
@roustabout@	-art=22
@nedelišće@	-location=19 -organization=1
@2000_cannes_film_festival@	-event=81
@waterplace_park@	-location=20
@the_glebe@	-location=36 -art=5
@battle_off_samar@	-event=117
@stafford_repp@	-person=25
@altenberg@	-location=62 -person=1
@west_jefferson@	-location=36 -organization=1
@bud_gaugh@	-person=36
@fort_saskatchewan@	-location=109
@gennett@	-organization=32
@bullet_for_my_valentine@	-person=217
@curb@	-organization=38 -person=6 -art=5
@hedwig_village@	-location=21
@michael_bolton@	-person=440 -art=3
@carlton's@	-organization=21
@biologist@	-title=28
@issus@	-event=18 -location=9 -living_thing=1
@sherwood@	-location=147 -person=22 -organization=4 -art=1
@junius@	-person=72 -location=8
@taste_of_cherry@	-art=22
@stonewall_book_award@	-award=56
@arundel_castle@	-location=123 -product=1 -event=1
@chris_christie@	-person=805
@box_elder_county,_utah@	-location=28
@foster's_home_for_imaginary_friends@	-broadcast_program=152
@henri_lebesgue@	-person=29
@keresley@	-location=20
@wishbone_ash@	-person=235 -art=6
@ssc@	-organization=31 -location=4
@voices@	-art=41 -product=4 -title=4 -person=1
@tuxedomoon@	-person=77
@merošina@	-location=32
@oryzomyini@	-living_thing=70
@astaldi@	-organization=24
@lucena@	-location=68 -organization=5 -person=1
@perdue_farms@	-organization=23 -person=1
@carrington_v.c.@	-art=20
@whitewater_river@	-location=60
@royal_united_services_institute@	-organization=73
@channel_ten@	-broadcast_network=109
@sibelius@	-product=23 -art=15 -event=1 -organization=1
@black_sea_region@	-location=55 -people-ethnicity=1
@são_joão_de_meriti@	-location=26
@brentford_and_isleworth@	-location=25
@fred_applegate@	-person=20
@stephen_rea@	-person=198
@u.s._highway_2@	-location=61
@peter_dumbreck@	-person=23
@shima@	-location=58 -person=1
@beachy_head@	-location=213 -event=8 -art=1
@rockapella@	-person=94 -art=2
@mcfarland@	-location=21 -organization=1 -person=1
@belmont_abbey@	-location=25 -organization=3
@on-u_sound_records@	-organization=23
@australian_first_tactical_air_force@	-organization=43
@harpers_ferry@	-location=133 -event=67 -organization=2 -product=1
@university_of_glamorgan@	-organization=123
@kimberley@	-location=460 -event=12 -organization=6 -product=5 -person=1
@tarawa@	-location=222 -product=1
@moray@	-location=556 -title=10 -person=1
@quiapo,_manila@	-location=35
@the_wiz@	-art=267 -organization=9
@shelley_nitschke@	-person=21
@sharon_walsh@	-person=44
@veps@	-language=18 -people-ethnicity=18
@pope_lucius_ii@	-person=26
@apollo_program@	-event=462
@mary_somerville@	-person=45
@ibiza@	-location=870 -product=15 -organization=2
@airport_express_train@	-organization=28
@fudan_university@	-organization=321
@chulachomklao_royal_military_academy@	-organization=41
@amnesia@	-location=47 -medicine-symptom=31 -art=23 -product=5 -disease=3 -person=2
@east_liberty@	-location=104 -art=1
@marc_gunn@	-person=25
@city_college@	-organization=144 -location=1
@mary_wells@	-person=201
@the_theatre@	-location=59 -event=1
@stepney@	-location=355 -title=1
@kathy_najimy@	-person=113
@spassky@	-person=20 -location=1
@pleurota_aristella@	-living_thing=21
@doc_severinsen@	-person=173
@dunbartonshire@	-location=170 -organization=1
@roger_ebert@	-person=3232
@fuel@	-person=184 -art=21 -product=1 -living_thing=1 -chemistry=1
@moscow_international_film_festival@	-event=168
@i_dream_of_jeannie@	-broadcast_program=359 -art=1
@kellogg@	-location=33 -organization=15 -person=5
@analysis@	-art=13 -medicine-medical_treatment=5 -title=2
@valentinian@	-art=11 -person=10
@tragus@	-body_part=28 -location=2
@george_abraham_grierson@	-person=32
@party_of_regions@	-organization=311
@wakhi@	-language=48 -people-ethnicity=10
@momus@	-god=21 -person=17
@overall_standings@	-event=54
@podocarpus@	-living_thing=62 -location=1
@raymond_scott@	-person=157
@st._johns_culture@	-location=20
@jeolla@	-location=98 -metropolitan_transit-transit_line=6 -language=2
@javi_martínez@	-person=31
@mineirão@	-location=34
@royal_exhibition_building@	-location=89
@bladon@	-location=25
@qendër@	-location=34
@são_januário@	-location=20
@nintendo@	-person=2766 -product=21
@super_why!@	-broadcast_program=26
@as_you_like_it@	-art=770 -broadcast_program=2
@south_coast_rail@	-location=23
@larry_shaw@	-person=53
@lawrence@	-location=505 -person=127 -product=10 -organization=3 -event=2 -art=1
@this_is_the_end@	-art=53
@balthasar@	-person=33
@piotr_nowak@	-person=26
@global_warming@	-art=22 -event=3
@degerfors@	-location=23 -organization=10
@methuen,_massachusetts@	-location=120
@amanda@	-person=23 -location=18 -art=10 -product=2 -event=1
@thakur_deshraj@	-person=48
@ganesh@	-person=56 -god=13 -art=6 -location=3
@on_the_road_again@	-art=73 -broadcast_program=25
@58@	-location=16 -art=11 -person=8 -organization=7 -metropolitan_transit-transit_line=4 -product=3 -event=1
@susan_rice@	-person=70
@watson@	-person=103 -location=66 -product=2
@lunar_and_planetary_institute@	-organization=44
@chris_abani@	-person=24
@perrysburg@	-location=65 -organization=1
@steel_pier@	-location=40 -art=27
@burscough@	-organization=100 -location=45
@storsjön@	-location=27
@open_range@	-art=29 -organization=1
@clarksville@	-location=309 -organization=1
@sake@	-food=33 -location=1
@sebastiano_baggio@	-person=26
@channel_orange@	-art=46
@albertine@	-art=16 -person=5
@love_jones@	-art=28 -person=11
@the_tams@	-person=33
@mitchell_starc@	-person=27
@rogers_tv@	-organization=59
@tony_modra@	-person=35
@gail_borden@	-person=33
@the_samples@	-person=26 -art=2
@simcity_2000@	-product=30
@willie_smith@	-person=51
@vanderbilt@	-organization=464 -location=22 -person=3
@vii@	-location=7 -product=6 -organization=5 -art=3 -chemistry=2 -body_part=2 -person=1
@barclays_center@	-location=204
@imagination_technologies@	-organization=40
@ramananda@	-person=24
@barry_goudreau@	-person=41 -art=2
@oranges_and_lemons@	-art=31
@2008_uefa_champions_league_final@	-event=27
@horst@	-location=14 -person=9
@district_1@	-location=23 -organization=2
@fc_augsburg@	-organization=268
@grady_hazlewood@	-person=23
@mariposa_grove@	-location=32
@catarhoe_rubidata@	-living_thing=35
@everett@	-location=319 -person=11 -organization=7 -broadcast_program=1
@lafayette,_louisiana@	-location=379 -organization=1
@1908@	-event=449 -art=3 -person=1
@prince_george_cougars@	-organization=76
@stumbleupon@	-organization=31
@daphnis_and_chloe@	-art=54
@sino_land@	-organization=24
@roberto_bolaño@	-person=127
@western_baseball_league@	-organization=59
@hans_christian_ørsted@	-person=93 -organization=1
@w._c._madden@	-person=24
@scottish_parliament@	-organization=41 -event=3 -location=3
@matt_williams@	-person=102
@victoria_salmon_kings@	-organization=88
@consolidated@	-organization=46 -person=31 -location=2
@lodge_kerrigan@	-person=27
@demon_hunter@	-person=106 -art=2
@30_days@	-broadcast_program=25 -art=12
@narada@	-god=180 -organization=38 -art=1 -person=1
@state_basketball_league@	-organization=21
@queen_anne's_county@	-location=92 -organization=1
@saša_obradović@	-person=24
@germaine_greer@	-person=239
@adamski@	-person=47
@reggio_emilia@	-location=483 -event=14 -organization=6
@weathernation_tv@	-broadcast_network=26
@nels_stewart@	-person=40
@dooradoyle@	-location=23
@diego_de_vargas@	-person=27
@royal_australian_army_ordnance_corps@	-organization=24
@górki@	-location=33
@the_magnificent_seven@	-art=202 -broadcast_program=38
@the_killer_inside_me@	-art=21
@elaine_lee@	-person=42
@london_transport_museum@	-location=81
@burn_this@	-art=43
@hultsfred@	-location=26 -event=3
@count@	-title=48 -location=2 -person=1
@st._luke's_hospital@	-location=36
@buna@	-location=122 -event=3 -living_thing=2 -language=1 -chemistry=1 -product=1
@ifni_war@	-event=28
@cooper@	-organization=270 -person=129 -title=97 -location=50 -event=1
@great_falls,_montana@	-location=281 -organization=1
@gabrik_rural_district@	-location=41
@heneage_finch@	-person=31
@stillwater,_oklahoma@	-location=217
@sr_41@	-location=44
@société_nautique_de_genève@	-organization=25
@jermyn_street_theatre@	-location=61
@limousine@	-product=48
@prs@	-product=38 -organization=20 -person=2 -title=1 -finance-currency=1
@fort_amsterdam@	-location=50
@dame_alice_owen's_school@	-organization=24
@haakon_v_of_norway@	-person=54
@john_leyton@	-person=50
@runaway@	-art=182 -broadcast_program=29 -title=2 -person=1 -event=1
@saint-maurice@	-location=99
@parlamentet@	-broadcast_program=24
@the_take@	-broadcast_program=17 -art=13
@green_party_in_northern_ireland@	-organization=23
@furniture@	-product=32 -person=17 -art=5
@alexander_macfarlane@	-person=23 -location=1
@liverpool_city@	-organization=27
@minneapolis_millerettes@	-organization=36
@william_h._keith,_jr.@	-person=21
@tokugawa_hidetada@	-person=142
@date@	-location=24 -food=8 -organization=3 -person=2 -product=1 -art=1
@avalon@	-art=138 -location=102 -person=73 -product=11 -organization=2
@dimps@	-person=38
@dan_savage@	-person=111
@britz@	-broadcast_program=17 -location=3
@coadjutor_bishop@	-title=59
@stuntman@	-title=38 -product=7
@jaap_stam@	-person=68
@platyptilia_farfarellus@	-living_thing=25
@honda_indy_toronto@	-event=24
@urban_viii@	-person=24
@248@	-location=12 -organization=7 -art=1
@si_spencer@	-person=28
@st._joseph's@	-organization=52 -location=14 -person=2
@parokya_ni_edgar@	-person=63
@manipay@	-location=25
@empire_exhibition@	-location=22 -event=1
@pozières@	-location=35
@ascendancy@	-art=25 -product=1
@roslin@	-location=28 -person=7 -event=1
@desta_damtew@	-person=23
@belton,_texas@	-location=39
@svt@	-broadcast_network=315 -organization=16 -disease=1
@rodeo_drive@	-location=77 -broadcast_program=5
@kom@	-language=11 -organization=4 -people-ethnicity=3 -location=2
@sense@	-art=15 -location=11 -organization=7 -living_thing=1
@madame_sul-te-wan@	-person=24
@ontinyent_cf@	-organization=55
@la_esmeralda@	-art=41 -location=5 -product=1
@theophylact@	-person=52
@galdakao@	-location=22
@pcp@	-medicine-drug=83 -organization=8 -chemistry=3
@absolute_garbage@	-art=23
